Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
23.0,Sat,2023-09-16,16:00,Vasco da Gama,1.4,4–2,1.9,Fluminense,,Estádio Club de Regatas Vasco da Gama,Raphael Claus,Match Report,,/en/matches/5e6cede6/Vasco-da-Gama-Fluminense-September-16-2023-Serie-A,5e6cede6,2023,4,2
23.0,Fri,2023-09-15,21:30,Palmeiras,1.0,1–0,0.4,Goiás,,Allianz Parque,Savio Pereira,Match Report,,/en/matches/42c7113e/Palmeiras-Goias-September-15-2023-Serie-A,42c7113e,2023,1,0
23.0,Sat,2023-09-16,21:00,Atlético Mineiro,1.3,1–0,0.1,Botafogo (RJ),,Arena MRV,Ramon Abatti Abel,Match Report,,/en/matches/e5c8ee0a/Atletico-Mineiro-Botafogo-RJ-September-16-2023-Serie-A,e5c8ee0a,2023,1,0
24.0,Mon,2023-09-18,20:00,Bahia,0.9,1–2,2.6,Santos,,Itaipava Arena Fonte Nova,Ramon Abatti Abel,Match Report,,/en/matches/ca5104b1/Bahia-Santos-September-18-2023-Serie-A,ca5104b1,2023,1,2
15.0,Mon,2023-09-18,21:00,Corinthians,1.8,4–4,1.1,Grêmio,35796.0,Neo Química Arena,Wilton Sampaio,Match Report,,/en/matches/0d4d5269/Corinthians-Gremio-September-18-2023-Serie-A,0d4d5269,2023,4,4
24.0,Wed,2023-09-20,19:00,Goiás,0.1,0–0,0.5,Flamengo,,Estádio de Hailé Pinheiro,Raphael Claus,Match Report,,/en/matches/bf814596/Goias-Flamengo-September-20-2023-Serie-A,bf814596,2023,0,0
24.0,Tue,2023-09-19,21:30,América (MG),1.2,0–2,1.8,Bragantino,,Estádio Raimundo Sampaio,Marcelo de Lima Henrique,Match Report,,/en/matches/b5fb85e4/America-MG-Bragantino-September-19-2023-Serie-A,b5fb85e4,2023,0,2
24.0,Thu,2023-09-21,19:00,Vasco da Gama,3.5,5–1,0.5,Coritiba,,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues de Souza,Match Report,,/en/matches/d6aee914/Vasco-da-Gama-Coritiba-September-21-2023-Serie-A,d6aee914,2023,5,1
24.0,Thu,2023-09-21,19:30,Ath Paranaense,0.9,2–1,0.8,Internacional,,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhães,Match Report,,/en/matches/cc034595/Athletico-Paranaense-Internacional-September-21-2023-Serie-A,cc034595,2023,2,1
24.0,Wed,2023-09-20,21:30,Fluminense,0.5,1–0,0.7,Cruzeiro,28985.0,Estadio Jornalista Mário Filho,Matheus Delgado Candançan,Match Report,,/en/matches/b9571351/Fluminense-Cruzeiro-September-20-2023-Serie-A,b9571351,2023,1,0
24.0,Wed,2023-09-20,21:30,São Paulo,1.6,1–2,1.1,Fortaleza,24777.0,Estádio do Morumbi,Yuri Elino Ferreira da Cruz,Match Report,,/en/matches/ee062c44/Sao-Paulo-Fortaleza-September-20-2023-Serie-A,ee062c44,2023,1,2
24.0,Fri,2023-09-22,20:00,Corinthians,1.1,1–0,0.5,Botafogo (RJ),,Neo Química Arena,Paulo Zanovelli,Match Report,,/en/matches/c6f1cdd7/Corinthians-Botafogo-RJ-September-22-2023-Serie-A,c6f1cdd7,2023,1,0
24.0,Thu,2023-09-21,21:30,Grêmio,0.4,1–0,1.0,Palmeiras,,Arena do Grêmio,Bruno Arleu,Match Report,,/en/matches/6971389d/Gremio-Palmeiras-September-21-2023-Serie-A,6971389d,2023,1,0
24.0,Sat,2023-09-23,21:00,Atlético Mineiro,0.6,1–0,0.4,Cuiabá,,Arena MRV,Rodrigo José Pereira de Lima,Match Report,,/en/matches/cbfcb770/Atletico-Mineiro-Cuiaba-September-23-2023-Serie-A,cbfcb770,2023,1,0
15.0,Mon,2023-09-25,20:00,América (MG),1.6,0–1,0.8,Vasco da Gama,,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,,/en/matches/62bfb3a6/America-MG-Vasco-da-Gama-September-25-2023-Serie-A,62bfb3a6,2023,0,1
22.0,Wed,2023-09-27,19:00,São Paulo,1.6,2–1,0.8,Coritiba,,Estádio do Morumbi,Savio Pereira,Match Report,,/en/matches/7beb6a45/Sao-Paulo-Coritiba-September-27-2023-Serie-A,7beb6a45,2023,2,1
25.0,Sat,2023-09-30,16:00,Fortaleza,1.9,1–1,1.5,Grêmio,23634.0,Estádio Castelão,Raphael Claus,Match Report,,/en/matches/bd790319/Fortaleza-Gremio-September-30-2023-Serie-A,bd790319,2023,1,1
25.0,Sat,2023-09-30,16:00,Flamengo,1.4,1–0,0.5,Bahia,,Estadio Jornalista Mário Filho,Savio Pereira,Match Report,,/en/matches/d351cf09/Flamengo-Bahia-September-30-2023-Serie-A,d351cf09,2023,1,0
25.0,Sat,2023-09-30,17:30,Cuiabá,1.2,3–0,0.2,Fluminense,,Arena Pantanal,Paulo Zanovelli,Match Report,,/en/matches/804ad084/Cuiaba-Fluminense-September-30-2023-Serie-A,804ad084,2023,3,0
25.0,Sat,2023-09-30,18:30,São Paulo,2.3,2–1,0.2,Corinthians,,Estádio do Morumbi,Flavio Rodrigues de Souza,Match Report,,/en/matches/053dbfd6/Classico-Majestoso-Sao-Paulo-Corinthians-September-30-2023-Serie-A,053dbfd6,2023,2,1
25.0,Sun,2023-10-01,16:00,Coritiba,0.5,2–0,0.9,Ath Paranaense,,Estádio Major Antônio Couto Pereira,Bruno Arleu,Match Report,,/en/matches/0c51a04a/Coritiba-Athletico-Paranaense-October-1-2023-Serie-A,0c51a04a,2023,2,0
25.0,Sun,2023-10-01,16:00,Santos,2.4,4–1,0.9,Vasco da Gama,,Estádio Urbano Caldeira,Anderson Daronco,Match Report,,/en/matches/576aabf5/Santos-Vasco-da-Gama-October-1-2023-Serie-A,576aabf5,2023,4,1
25.0,Sun,2023-10-01,16:00,Cruzeiro,0.6,1–1,1.0,América (MG),,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,,/en/matches/f496869a/Cruzeiro-America-MG-October-1-2023-Serie-A,f496869a,2023,1,1
25.0,Sun,2023-10-01,18:30,Bragantino,2.9,2–1,1.5,Palmeiras,,Estádio Nabi Abi Chedid,Wagner do Nascimento Magalhães,Match Report,,/en/matches/833c0672/Bragantino-Palmeiras-October-1-2023-Serie-A,833c0672,2023,2,1
25.0,Sat,2023-09-30,21:00,Internacional,0.8,0–2,1.4,Atlético Mineiro,,Estádio José Pinheiro Borba,Ramon Abatti Abel,Match Report,,/en/matches/dae78550/Internacional-Atletico-Mineiro-September-30-2023-Serie-A,dae78550,2023,0,2
